DATA,MODEL,BATCH_SIZE,LEARNING_RATE,EPOCHS,OPTIMIZER,LOSS,DROPOUT,ACTIVATION,VAL_SPLIT,train_runtime_sec,train_peak_memory_mb,loss,accuracy,precision,recall,macro_f1,inference_runtime_sec,inference_latency_ms_per_sample,inference_peak_memory_mb
cells,AlexNet,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,26.165879051201046,402.42919921875,0.23483397735642675,93.86144402221572,93.60318030261215,92.81211002227037,93.16275556663021,0.21598981600254774,0.06313645600776023,268.98046875
cells,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,128.9497503247112,2072.8037109375,0.1351039122982842,96.40456007015491,96.89562495664892,95.83404237659774,96.33438673386144,0.6090677734464407,0.17803793436025744,717.79833984375
cells,ResNet18,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,296.28278024867177,3178.98486328125,0.09688188296788201,97.25226541946799,97.22065562496043,97.2530978335679,97.21101905794653,1.162823548540473,0.33990749738102105,856.6787109375
chest,AlexNet,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,8.584313162602484,399.4658203125,0.2906585152332599,90.7051282051282,92.60568566799235,88.03418803418803,89.59282263630091,0.033385297283530235,0.0535020789800164,265.0615234375
chest,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,48.500187484547496,2070.1142578125,0.5426251827142178,88.14102564102564,91.3452938391119,84.44444444444444,86.38679245283018,0.10371180903166533,0.16620482216613033,715.35595703125
chest,ResNet18,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,112.63868851121515,3174.421875,0.4035118443843646,87.17948717948718,90.5403238736572,83.24786324786325,85.20415421823873,0.20524493791162968,0.32891816973017574,851.861328125
lesions,AlexNet,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,15.195231835357845,402.6630859375,0.680788142098453,75.76059850374065,54.86216283641694,48.980732284619236,49.73463134569568,0.11031509470194578,0.05501999735757895,267.77685546875
lesions,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,75.72290977463126,2073.54541015625,0.7250492192265994,72.66832917705736,38.75803971353592,33.27829821670453,33.683525118494565,0.34173796232789755,0.17044287397900126,996.3994140625
lesions,ResNet18,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,173.87800787761807,3178.9765625,0.6860780074114812,75.76059850374065,45.53409100038757,40.080124833810736,41.22764879044968,0.6906717587262392,0.3444746926315408,1028.27978515625
orgs,AlexNet,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,24.572534002363682,399.36083984375,0.5302051907621085,89.97078870496593,89.08300649682552,88.47017306297114,88.51879743121025,0.3047167407348752,0.03708821089762356,264.08154296875
orgs,VGG16,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,141.3629992455244,2068.9404296875,0.5222396442291218,89.56913339824733,87.99826518667058,88.46498174684368,88.04927955496366,1.2934497939422727,0.15743059809423962,715.1806640625
orgs,ResNet18,128,0.001,20,Adam,CrossEntropyLoss,0.5,ReLU,0.1,329.2041842062026,3174.49658203125,0.32795783622007174,92.05209347614411,91.17383802507892,91.04775129369403,90.88486093415082,2.6223894422873855,0.31918079872047045,851.18603515625
